id,data_format,cases,access,file_name,submitter_id,data_category,type,file_size,created_datetime,md5sum,updated_datetime,file_id,data_type,state,experimental_strategy,version,data_release,project,analysis_id,analysis_state,analysis_submitter_id,analysis_workflow_link,analysis_workflow_type,analysis_workflow_version,sample_type,is_ffpe,cases.submitter_id,sample.submitter_id
3fe0cda8-59e6-42fc-8b29-53c55071d8fb,TXT,TCGA-55-8508-01A-11R-2403-07,open,0c0d8887-ff41-46ae-9aba-f6f98f8c1c5e.htseq.counts.gz,0c0d8887-ff41-46ae-9aba-f6f98f8c1c5e_count,Transcriptome Profiling,gene_expression,248213,2016-05-29T11:02:48.163347-05:00,3d4007ac0f17e9f0bb4c4d05984783a6,2018-09-06T21:10:41.393019-05:00,3fe0cda8-59e6-42fc-8b29-53c55071d8fb,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUAD,a50eb153-03dd-4cd8-a367-c125206b8560,released,0c0d8887-ff41-46ae-9aba-f6f98f8c1c5e_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-55-8508,TCGA-55-8508-01A
5ff00368-bf50-4d62-9204-d2b801eea88d,TXT,TCGA-67-3771-01A-01R-0946-07,open,90af0faf-3e8c-4741-bf49-f87a5b21d54c.htseq.counts.gz,90af0faf-3e8c-4741-bf49-f87a5b21d54c_count,Transcriptome Profiling,gene_expression,252741,2016-05-26T21:11:59.082761-05:00,480a90715ab8d6ec159332519f648478,2018-09-06T21:10:41.393019-05:00,5ff00368-bf50-4d62-9204-d2b801eea88d,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUAD,164912e6-9c37-4e8e-9de0-6c3cc8d83a76,released,90af0faf-3e8c-4741-bf49-f87a5b21d54c_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-67-3771,TCGA-67-3771-01A
c2a2198e-46e3-46ac-84d7-152eb2803643,TXT,TCGA-55-A4DG-01A-11R-A24H-07,open,06b1bbf5-07e5-4a03-aea1-f7203bab2572.htseq.counts.gz,06b1bbf5-07e5-4a03-aea1-f7203bab2572_count,Transcriptome Profiling,gene_expression,255679,2016-05-29T10:16:33.415660-05:00,85ae69183e263164887631ab369574cd,2018-09-06T21:10:41.393019-05:00,c2a2198e-46e3-46ac-84d7-152eb2803643,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUAD,7442dca6-e210-4357-88a5-fe4f62d254d3,released,06b1bbf5-07e5-4a03-aea1-f7203bab2572_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-55-A4DG,TCGA-55-A4DG-01A
e518befa-bfb3-4e14-bcaf-b34100140eb5,TXT,TCGA-91-7771-01A-11R-2170-07,open,f9ea29ab-6953-4646-b367-cff2483b9f46.htseq.counts.gz,f9ea29ab-6953-4646-b367-cff2483b9f46_count,Transcriptome Profiling,gene_expression,253859,2016-05-30T18:43:30.281408-05:00,13b6f5893a70623daa18f392e7fda0b1,2018-09-06T21:10:41.393019-05:00,e518befa-bfb3-4e14-bcaf-b34100140eb5,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUAD,bc8d1739-112b-4cdd-a639-c9d77bfe2710,released,f9ea29ab-6953-4646-b367-cff2483b9f46_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-91-7771,TCGA-91-7771-01A
7ed5c3fe-5e5b-45ed-b873-5c333f641422,TXT,TCGA-91-6849-01A-11R-1949-07,open,16c42b24-fcaf-43e2-8f52-d7488f82257b.htseq.counts.gz,16c42b24-fcaf-43e2-8f52-d7488f82257b_count,Transcriptome Profiling,gene_expression,245809,2016-05-29T10:54:21.438858-05:00,84382aff3980bf9cdc623c5c4a11f56b,2018-09-06T21:10:41.393019-05:00,7ed5c3fe-5e5b-45ed-b873-5c333f641422,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUAD,7148a47a-0075-4f27-aafa-924e3d5d2537,released,16c42b24-fcaf-43e2-8f52-d7488f82257b_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-91-6849,TCGA-91-6849-01A
b0feb1c4-a349-4128-a4aa-d98ea7ac8ffb,TXT,TCGA-64-5781-01A-01R-1628-07,open,f0051b3a-479d-4410-ab85-270618818492.htseq.counts.gz,f0051b3a-479d-4410-ab85-270618818492_count,Transcriptome Profiling,gene_expression,246688,2016-05-29T10:18:51.797332-05:00,5f40195db087ed6437925b9876d68fb7,2018-09-06T21:10:41.393019-05:00,b0feb1c4-a349-4128-a4aa-d98ea7ac8ffb,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUAD,53a4420a-aae3-4b31-9467-16cb29b434bd,released,f0051b3a-479d-4410-ab85-270618818492_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-64-5781,TCGA-64-5781-01A
0cb63470-8d8a-4ec7-8f38-37538d50b18e,TXT,TCGA-44-6146-01B-04R-A277-07,open,5260addc-0596-42c0-85c6-b74744db9cda.htseq.counts.gz,5260addc-0596-42c0-85c6-b74744db9cda_count,Transcriptome Profiling,gene_expression,260396,2016-05-26T21:11:06.996896-05:00,6a53b189ea9d14d647fc73d18df8e2f6,2018-09-06T21:10:41.393019-05:00,0cb63470-8d8a-4ec7-8f38-37538d50b18e,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUAD,ab503509-4b78-4def-8fd9-2725a69961bb,released,5260addc-0596-42c0-85c6-b74744db9cda_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,TRUE,TCGA-44-6146,TCGA-44-6146-01B
fae04d12-be1b-4604-9d65-ed82521da937,TXT,TCGA-97-7552-01A-11R-2039-07,open,6095fc44-4542-4435-8e6b-dba09b3f7f92.htseq.counts.gz,6095fc44-4542-4435-8e6b-dba09b3f7f92_count,Transcriptome Profiling,gene_expression,254662,2016-05-26T21:18:23.318161-05:00,b2b28284efd728674b1bab33eddf50a4,2018-09-06T21:10:41.393019-05:00,fae04d12-be1b-4604-9d65-ed82521da937,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUAD,2c057391-695b-4ed8-a732-8cf1a109f925,released,6095fc44-4542-4435-8e6b-dba09b3f7f92_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-97-7552,TCGA-97-7552-01A
001c6345-176c-4ab3-a0c8-27384879a8ff,TXT,TCGA-80-5608-01A-31R-1949-07,open,8f4891e2-55c1-48f4-bdce-c3848f74b8dc.htseq.counts.gz,8f4891e2-55c1-48f4-bdce-c3848f74b8dc_count,Transcriptome Profiling,gene_expression,254599,2016-05-29T10:34:13.166729-05:00,74a69d5862912ec5507d26f1bf7c71e5,2018-09-06T21:10:41.393019-05:00,001c6345-176c-4ab3-a0c8-27384879a8ff,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUAD,ad1dbf10-763a-4f9d-a9b3-d18cce77fb7e,released,8f4891e2-55c1-48f4-bdce-c3848f74b8dc_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-80-5608,TCGA-80-5608-01A
782c15f6-580e-42be-91f3-f6458a17d6b0,TXT,TCGA-91-6829-01A-21R-1858-07,open,e750282f-7315-46bb-9911-5bdac74fb1eb.htseq.counts.gz,e750282f-7315-46bb-9911-5bdac74fb1eb_count,Transcriptome Profiling,gene_expression,252889,2016-05-26T21:15:11.899491-05:00,1fad8eb7781ef0e1d64228a77804f00e,2018-09-06T21:10:41.393019-05:00,782c15f6-580e-42be-91f3-f6458a17d6b0,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUAD,31412efe-9e7d-42ff-be68-061067ef37fd,released,e750282f-7315-46bb-9911-5bdac74fb1eb_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-91-6829,TCGA-91-6829-01A
6ce37153-d523-437a-ac96-c098a0c9eb60,TXT,TCGA-44-2662-11A-01R-1758-07,open,783a2365-c4a2-4db4-ab14-d52e603d8230.htseq.counts.gz,783a2365-c4a2-4db4-ab14-d52e603d8230_count,Transcriptome Profiling,gene_expression,252417,2016-05-30T18:49:22.290687-05:00,e4372edbd7743aca9f18930a1f29fdbb,2018-09-06T21:10:41.393019-05:00,6ce37153-d523-437a-ac96-c098a0c9eb60,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUAD,c2c34a15-aebd-4f41-b15b-34eef531cee3,released,783a2365-c4a2-4db4-ab14-d52e603d8230_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Solid Tissue Normal,FALSE,TCGA-44-2662,TCGA-44-2662-11A
c8afdbba-ec32-4289-8893-6be495151e67,TXT,TCGA-49-AARE-01A-11R-A41B-07,open,7b3fca6d-8886-46b4-99fa-cc87e6790c9f.htseq.counts.gz,7b3fca6d-8886-46b4-99fa-cc87e6790c9f_count,Transcriptome Profiling,gene_expression,255626,2016-05-30T18:49:47.010107-05:00,a74964218d9da0a5f2553f5d0c3a2bae,2018-09-06T21:10:41.393019-05:00,c8afdbba-ec32-4289-8893-6be495151e67,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUAD,04ac3a5b-3885-4df7-8bc9-467620a1f14e,released,7b3fca6d-8886-46b4-99fa-cc87e6790c9f_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-49-AARE,TCGA-49-AARE-01A
87a78e21-7753-4ea2-96af-fab7550f5f54,TXT,TCGA-97-A4M1-01A-11R-A24X-07,open,287715d0-5667-434b-b104-9de5b5843877.htseq.counts.gz,287715d0-5667-434b-b104-9de5b5843877_count,Transcriptome Profiling,gene_expression,255272,2016-05-30T18:43:21.081276-05:00,2b0acbb1832e28ee2244105f7baf427d,2018-09-06T21:10:41.393019-05:00,87a78e21-7753-4ea2-96af-fab7550f5f54,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUAD,38c8d30b-67ae-4052-a581-0487183a0b03,released,287715d0-5667-434b-b104-9de5b5843877_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-97-A4M1,TCGA-97-A4M1-01A
76541844-6cf0-4c49-89b3-6d681c9fb9d3,TXT,TCGA-83-5908-01A-21R-2287-07,open,0707ddc2-77f7-41e2-ad4c-783673d0ecbe.htseq.counts.gz,0707ddc2-77f7-41e2-ad4c-783673d0ecbe_count,Transcriptome Profiling,gene_expression,256294,2016-05-26T21:23:36.713017-05:00,41a43987423117c1668d2f5cca0b0823,2018-09-06T21:10:41.393019-05:00,76541844-6cf0-4c49-89b3-6d681c9fb9d3,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUAD,3497a36b-1e12-4aae-b40d-6dbd89982cc8,released,0707ddc2-77f7-41e2-ad4c-783673d0ecbe_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-83-5908,TCGA-83-5908-01A
ec4757ab-c8c3-40cf-a71b-a8b0c09fb60e,TXT,TCGA-97-8179-01A-11R-2287-07,open,72091aa8-e5a3-4468-8604-e5fbfefe5971.htseq.counts.gz,72091aa8-e5a3-4468-8604-e5fbfefe5971_count,Transcriptome Profiling,gene_expression,255191,2016-05-26T21:13:57.203617-05:00,b6fb5896cd3b9e3f336e2fa2c6b66ec0,2018-09-06T21:10:41.393019-05:00,ec4757ab-c8c3-40cf-a71b-a8b0c09fb60e,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUAD,42daaf0c-7045-490b-b738-7675b670d573,released,72091aa8-e5a3-4468-8604-e5fbfefe5971_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-97-8179,TCGA-97-8179-01A
9a688f9e-78ac-4ef3-8018-0d0d7bcd8db5,TXT,TCGA-64-1680-01A-02R-0946-07,open,20a96363-a968-445a-bd9a-96b27e403516.htseq.counts.gz,20a96363-a968-445a-bd9a-96b27e403516_count,Transcriptome Profiling,gene_expression,247387,2016-05-26T21:18:13.796436-05:00,b4d6c5ad6cf8fb4847953a859f461c01,2018-09-06T21:10:41.393019-05:00,9a688f9e-78ac-4ef3-8018-0d0d7bcd8db5,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUAD,c1260c35-af29-4958-99da-86c07ce911c5,released,20a96363-a968-445a-bd9a-96b27e403516_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-64-1680,TCGA-64-1680-01A
c21834bc-5221-49ce-8634-a10a5effef9f,TXT,TCGA-73-4670-01A-01R-1206-07,open,d0918436-f01a-49c3-afba-5c29f4076f6c.htseq.counts.gz,d0918436-f01a-49c3-afba-5c29f4076f6c_count,Transcriptome Profiling,gene_expression,256825,2016-05-26T21:18:30.324829-05:00,7df93e102af6e1901bbf14e4b14c00c2,2018-09-06T21:10:41.393019-05:00,c21834bc-5221-49ce-8634-a10a5effef9f,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUAD,49db6997-3bd2-4bc2-950f-56b3695f8855,released,d0918436-f01a-49c3-afba-5c29f4076f6c_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-73-4670,TCGA-73-4670-01A
9bb510ea-af13-42fb-93a1-dba0da1e6f3b,TXT,TCGA-44-3396-01A-01R-1206-07,open,0fca0e34-1499-410a-a5a1-561406245e03.htseq.counts.gz,0fca0e34-1499-410a-a5a1-561406245e03_count,Transcriptome Profiling,gene_expression,260806,2016-05-29T10:15:13.607074-05:00,1c16c5b05a73007bd01b4732cc9a04f7,2018-09-06T21:10:41.393019-05:00,9bb510ea-af13-42fb-93a1-dba0da1e6f3b,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUAD,0f131922-a732-4bbf-a7ad-d65c93e8fa5b,released,0fca0e34-1499-410a-a5a1-561406245e03_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-44-3396,TCGA-44-3396-01A
258d400a-c5ca-43ee-9392-ea1f176a3f3c,TXT,TCGA-80-5611-01A-01R-1628-07,open,bf09f1fe-5f5d-4262-9159-5ec62f86294e.htseq.counts.gz,bf09f1fe-5f5d-4262-9159-5ec62f86294e_count,Transcriptome Profiling,gene_expression,249995,2016-05-29T11:13:29.630602-05:00,a93723b2b7355180225773c28573615c,2018-09-06T21:10:41.393019-05:00,258d400a-c5ca-43ee-9392-ea1f176a3f3c,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUAD,0799393c-994d-4144-97a3-8ebb1647d46a,released,bf09f1fe-5f5d-4262-9159-5ec62f86294e_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-80-5611,TCGA-80-5611-01A
193ddc3f-b7fc-4f3a-a4e8-7e7e74734b7d,TXT,TCGA-53-7624-01A-11R-2066-07,open,ba17045d-3dee-4863-9cec-54e2da669662.htseq.counts.gz,ba17045d-3dee-4863-9cec-54e2da669662_count,Transcriptome Profiling,gene_expression,254348,2016-05-29T10:30:05.489841-05:00,d56429f516e3ee2a024a6b094a6ac4bb,2018-09-06T21:10:41.393019-05:00,193ddc3f-b7fc-4f3a-a4e8-7e7e74734b7d,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUAD,aedcb7dc-8fd0-417d-b7b3-dfb580ee66f3,released,ba17045d-3dee-4863-9cec-54e2da669662_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-53-7624,TCGA-53-7624-01A
90c51069-913b-40b7-aa49-87d7c83f8da0,TXT,TCGA-91-6835-01A-11R-1858-07,open,69ad4bfb-b94a-4b72-986b-d6a73febd362.htseq.counts.gz,69ad4bfb-b94a-4b72-986b-d6a73febd362_count,Transcriptome Profiling,gene_expression,255476,2016-05-29T10:07:58.662899-05:00,233ba0c04774bd28fa3d7c7e76a89737,2018-09-06T21:10:41.393019-05:00,90c51069-913b-40b7-aa49-87d7c83f8da0,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUAD,792d4de0-d14c-43c7-9d8d-1a4cc2da851e,released,69ad4bfb-b94a-4b72-986b-d6a73febd362_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-91-6835,TCGA-91-6835-01A
530015ae-0f56-49d1-bf54-09d3601d3438,TXT,TCGA-L9-A50W-01A-12R-A39D-07,open,5c688f5d-2627-4437-8902-f2d29c8d1d9b.htseq.counts.gz,5c688f5d-2627-4437-8902-f2d29c8d1d9b_count,Transcriptome Profiling,gene_expression,256491,2016-05-30T18:38:24.140762-05:00,38b880dd09142a1e0cd3bda03348bc16,2018-09-06T21:10:41.393019-05:00,530015ae-0f56-49d1-bf54-09d3601d3438,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUAD,6341770a-7985-495a-af27-7a9cfacbd7a4,released,5c688f5d-2627-4437-8902-f2d29c8d1d9b_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-L9-A50W,TCGA-L9-A50W-01A
0f7252b5-7fac-4726-9045-cb2b7a7a4010,TXT,TCGA-86-7713-01A-11R-2066-07,open,79caf319-b6a9-4e02-aede-444242d215d4.htseq.counts.gz,79caf319-b6a9-4e02-aede-444242d215d4_count,Transcriptome Profiling,gene_expression,257297,2016-05-30T18:49:06.311582-05:00,d7d8644a38b60bc3a5f851e15571ce49,2018-09-06T21:10:41.393019-05:00,0f7252b5-7fac-4726-9045-cb2b7a7a4010,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUAD,176cbad1-b2c9-48b3-9a8b-b2beee3fee82,released,79caf319-b6a9-4e02-aede-444242d215d4_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-86-7713,TCGA-86-7713-01A
