id,data_format,cases,access,file_name,submitter_id,data_category,type,created_datetime,file_size,updated_datetime,md5sum,file_id,data_type,state,experimental_strategy,version,data_release,project,analysis_id,analysis_state,analysis_submitter_id,analysis_workflow_link,analysis_workflow_type,analysis_workflow_version,sample_type,is_ffpe,cases.submitter_id,sample.submitter_id
1232fa43-bfbe-4852-bcc7-584b1d007da6,TXT,TCGA-BP-4801-01A-02R-1420-07,open,71a24f55-17a7-4396-91fa-e6c7e03df518.htseq.counts.gz,71a24f55-17a7-4396-91fa-e6c7e03df518_count,Transcriptome Profiling,gene_expression,2016-05-30T18:37:39.078554-05:00,253223,2018-09-06T17:41:51.247648-05:00,c0b7706229f3000b1c707704a5fa52f9,1232fa43-bfbe-4852-bcc7-584b1d007da6,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-KIRC,5a6d549d-a779-4de1-bffd-302001c93cd3,released,71a24f55-17a7-4396-91fa-e6c7e03df518_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-BP-4801,TCGA-BP-4801-01A
c82be063-2af6-4b9e-870c-5bdbec0867c4,TXT,TCGA-A3-3347-01A-02R-1325-07,open,f66dd895-d78c-4b35-8583-1a2b8464fde2.htseq.counts.gz,f66dd895-d78c-4b35-8583-1a2b8464fde2_count,Transcriptome Profiling,gene_expression,2016-05-29T10:10:19.256934-05:00,257522,2018-09-06T17:41:51.247648-05:00,66cabb4052f55741b6f6a51ccc9c01c5,c82be063-2af6-4b9e-870c-5bdbec0867c4,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-KIRC,a11f08f0-759b-47f1-9d00-85187810326e,released,f66dd895-d78c-4b35-8583-1a2b8464fde2_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-A3-3347,TCGA-A3-3347-01A
8617f0d4-47eb-46cc-9339-ebaf17b87d27,TXT,TCGA-B2-3924-01B-03R-A277-07,open,1a2ef4d2-9a08-4b17-9c93-22c0b0456df1.htseq.counts.gz,1a2ef4d2-9a08-4b17-9c93-22c0b0456df1_count,Transcriptome Profiling,gene_expression,2016-05-29T10:19:12.774505-05:00,263751,2018-09-06T17:41:51.247648-05:00,0ae6ce39a01fa10e6799c944eb403360,8617f0d4-47eb-46cc-9339-ebaf17b87d27,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-KIRC,c49a1c00-6b38-4647-86eb-b798b6b41aae,released,1a2ef4d2-9a08-4b17-9c93-22c0b0456df1_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,TRUE,TCGA-B2-3924,TCGA-B2-3924-01B
85cf33d2-ac70-48d0-9753-7019e4be5a7b,TXT,TCGA-G6-A8L8-01A-21R-A37O-07,open,58ff1a2a-76d0-4727-a749-7c9cf1bae05a.htseq.counts.gz,58ff1a2a-76d0-4727-a749-7c9cf1bae05a_count,Transcriptome Profiling,gene_expression,2016-05-30T18:16:08.209022-05:00,253859,2018-09-06T17:41:51.247648-05:00,5d5ab736b353942b8b841b3cf00d8230,85cf33d2-ac70-48d0-9753-7019e4be5a7b,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-KIRC,4835dac7-e1a3-4bac-bb06-710412091871,released,58ff1a2a-76d0-4727-a749-7c9cf1bae05a_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-G6-A8L8,TCGA-G6-A8L8-01A
b43e6672-ba33-4bdd-9615-bffa2288f3a6,TXT,TCGA-MM-A564-01A-11R-A266-07,open,74c84a22-7165-41f7-a38f-ed2db790ca2f.htseq.counts.gz,74c84a22-7165-41f7-a38f-ed2db790ca2f_count,Transcriptome Profiling,gene_expression,2016-05-29T10:37:42.831061-05:00,251718,2018-09-06T17:41:51.247648-05:00,f71cf0c97ba94ff2a99520a141b2d09b,b43e6672-ba33-4bdd-9615-bffa2288f3a6,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-KIRC,647bee37-8888-4828-aa56-379507845018,released,74c84a22-7165-41f7-a38f-ed2db790ca2f_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-MM-A564,TCGA-MM-A564-01A
0085c623-bcdd-4b71-960c-a42acd0e53e4,TXT,TCGA-CZ-5989-11A-01R-1672-07,open,801c2c60-5dc2-43f7-949f-18b5a35a4ca3.htseq.counts.gz,801c2c60-5dc2-43f7-949f-18b5a35a4ca3_count,Transcriptome Profiling,gene_expression,2016-05-26T21:14:58.112871-05:00,255034,2018-09-06T17:41:51.247648-05:00,4bfe0e3c85512a673c822fa01763cb21,0085c623-bcdd-4b71-960c-a42acd0e53e4,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-KIRC,87643ff3-5a2b-4bc3-aacd-0f7082487054,released,801c2c60-5dc2-43f7-949f-18b5a35a4ca3_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Solid Tissue Normal,FALSE,TCGA-CZ-5989,TCGA-CZ-5989-11A
df9fa5cf-2915-43f9-a83e-cc3e53677141,TXT,TCGA-BP-4775-01A-01R-1289-07,open,bceaa475-65e1-4362-91fa-22f68f90cbba.htseq.counts.gz,bceaa475-65e1-4362-91fa-22f68f90cbba_count,Transcriptome Profiling,gene_expression,2016-05-30T18:44:07.734435-05:00,259452,2018-09-06T17:41:51.247648-05:00,7965c8f600e356bf280b5f1553296616,df9fa5cf-2915-43f9-a83e-cc3e53677141,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-KIRC,0bc99f66-8d63-4db6-ab24-dbee79483ecd,released,bceaa475-65e1-4362-91fa-22f68f90cbba_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-BP-4775,TCGA-BP-4775-01A
44d2cbcc-4084-4de2-b2bd-fc43a5e2495c,TXT,TCGA-BP-4352-01A-01R-1289-07,open,1d5e8f90-0bfc-4a01-b988-925f3c0ec1cf.htseq.counts.gz,1d5e8f90-0bfc-4a01-b988-925f3c0ec1cf_count,Transcriptome Profiling,gene_expression,2016-05-26T21:06:42.329890-05:00,260984,2018-09-06T17:41:51.247648-05:00,7b545d687ba75e52d27b8ffe5a78676e,44d2cbcc-4084-4de2-b2bd-fc43a5e2495c,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-KIRC,380228a2-521c-479d-9ae4-dc15836abfda,released,1d5e8f90-0bfc-4a01-b988-925f3c0ec1cf_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-BP-4352,TCGA-BP-4352-01A
fd78f87b-caac-4276-b321-56f673cb9016,TXT,TCGA-BP-4787-01A-01R-1305-07,open,b4f54395-e237-4b10-b688-433b138facff.htseq.counts.gz,b4f54395-e237-4b10-b688-433b138facff_count,Transcriptome Profiling,gene_expression,2016-05-29T10:27:19.299934-05:00,254778,2018-09-06T17:41:51.247648-05:00,52fdc023da55b164862b814c1c566fce,fd78f87b-caac-4276-b321-56f673cb9016,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-KIRC,c0dfe037-fc12-4ead-84be-d40c479fbb11,released,b4f54395-e237-4b10-b688-433b138facff_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-BP-4787,TCGA-BP-4787-01A
16b5a58b-480c-4561-b311-550398e74c3c,TXT,TCGA-CZ-5459-01A-01R-1503-07,open,9a7c9e75-314d-49ab-9e31-5cb1fb1ebb38.htseq.counts.gz,9a7c9e75-314d-49ab-9e31-5cb1fb1ebb38_count,Transcriptome Profiling,gene_expression,2016-05-30T18:16:10.300660-05:00,252423,2018-09-06T17:41:51.247648-05:00,44f0d14345537faad567d8a0ebd95af0,16b5a58b-480c-4561-b311-550398e74c3c,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-KIRC,c77f4373-d3c3-41e0-9a49-4cec83f8562f,released,9a7c9e75-314d-49ab-9e31-5cb1fb1ebb38_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-CZ-5459,TCGA-CZ-5459-01A
