id,data_format,access,cases,file_name,data_category,submitter_id,type,created_datetime,file_size,md5sum,updated_datetime,file_id,data_type,state,experimental_strategy,version,data_release,project,analysis_id,analysis_state,analysis_submitter_id,analysis_workflow_link,analysis_workflow_type,analysis_workflow_version,sample_type,is_ffpe,cases.submitter_id,sample.submitter_id
da02721e-765a-4fb2-8167-baaebe3396da,TXT,open,TCGA-IN-AB1X-11A-21R-A39E-31,a861c037-da5e-480a-a006-d2747114b1dc.htseq.counts.gz,Transcriptome Profiling,a861c037-da5e-480a-a006-d2747114b1dc_count,gene_expression,2016-05-26T21:20:03.229343-05:00,260032,981fa5b281e233071d5e4ef2aeaba900,2018-09-06T18:42:58.220092-05:00,da02721e-765a-4fb2-8167-baaebe3396da,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-STAD,b6c4ef52-592e-423e-8408-29460c96c5ed,released,a861c037-da5e-480a-a006-d2747114b1dc_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Solid Tissue Normal,FALSE,TCGA-IN-AB1X,TCGA-IN-AB1X-11A
752a56ca-8bdf-4d99-952d-8e7670dcea7d,TXT,open,TCGA-BR-4369-01A-01R-1157-13,7870577f-3197-4590-b036-aaeb643ccc84.htseq.counts.gz,Transcriptome Profiling,7870577f-3197-4590-b036-aaeb643ccc84_count,gene_expression,2016-05-30T21:09:35.669580-05:00,267273,5c8c09c15188d1c0bea2d3bc8c0bf447,2018-09-06T18:42:58.220092-05:00,752a56ca-8bdf-4d99-952d-8e7670dcea7d,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-STAD,4e468035-d85a-4129-bb48-c132af48b035,released,7870577f-3197-4590-b036-aaeb643ccc84_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-BR-4369,TCGA-BR-4369-01A
2f3a9352-0454-452d-913f-b20f09e8d936,TXT,open,TCGA-BR-8381-01A-11R-2402-13,a7ee0b2a-298d-4e7a-88f8-eb466962e396.htseq.counts.gz,Transcriptome Profiling,a7ee0b2a-298d-4e7a-88f8-eb466962e396_count,gene_expression,2016-05-29T10:56:29.180623-05:00,260433,de1de5942c302a57c8687b0b919a8376,2018-09-06T18:42:58.220092-05:00,2f3a9352-0454-452d-913f-b20f09e8d936,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-STAD,b88c61a2-7f08-4f67-94ee-3e45b297100f,released,a7ee0b2a-298d-4e7a-88f8-eb466962e396_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-BR-8381,TCGA-BR-8381-01A
19f629e8-ba6e-466a-9938-56ea7d631cd0,TXT,open,TCGA-D7-A4YX-01A-11R-A251-31,f5e50380-3507-4002-9bfe-624bc0a3eba1.htseq.counts.gz,Transcriptome Profiling,f5e50380-3507-4002-9bfe-624bc0a3eba1_count,gene_expression,2016-05-26T21:26:22.241664-05:00,259014,02c9eedd210aad304174eeb6c3044fb5,2018-09-06T18:42:58.220092-05:00,19f629e8-ba6e-466a-9938-56ea7d631cd0,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-STAD,cfaefeb6-6931-460e-8a42-a3eab5b1adfb,released,f5e50380-3507-4002-9bfe-624bc0a3eba1_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-D7-A4YX,TCGA-D7-A4YX-01A
3c97dd42-d536-4a20-a1f1-04f74ebfda62,TXT,open,TCGA-RD-A8N1-01A-12R-A36D-31,da9399eb-a43c-4fdc-a0e6-af1642006ac4.htseq.counts.gz,Transcriptome Profiling,da9399eb-a43c-4fdc-a0e6-af1642006ac4_count,gene_expression,2016-05-29T10:22:09.535489-05:00,260649,7850c9916ef9d16c06e7a99c0f0e8c98,2018-09-06T18:42:58.220092-05:00,3c97dd42-d536-4a20-a1f1-04f74ebfda62,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-STAD,513a27d5-294f-4824-894c-4721837c1d5c,released,da9399eb-a43c-4fdc-a0e6-af1642006ac4_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-RD-A8N1,TCGA-RD-A8N1-01A
13d2dcab-108b-4fd7-ab92-4beab709abd3,TXT,open,TCGA-HU-A4HB-11A-11R-A251-31,afc60bb6-6efc-4174-ade2-d148223ddf4b.htseq.counts.gz,Transcriptome Profiling,afc60bb6-6efc-4174-ade2-d148223ddf4b_count,gene_expression,2016-05-29T10:12:10.382135-05:00,260480,3a3145df95bcc3ef34bf3b1ac0e90871,2018-09-06T18:42:58.220092-05:00,13d2dcab-108b-4fd7-ab92-4beab709abd3,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-STAD,b0719764-0ea0-463b-a860-03534328f455,released,afc60bb6-6efc-4174-ade2-d148223ddf4b_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Solid Tissue Normal,FALSE,TCGA-HU-A4HB,TCGA-HU-A4HB-11A
f56071e2-b43f-46e7-9336-4e7c50945714,TXT,open,TCGA-CD-8526-01A-11R-2343-13,e6b85402-c38e-4c9d-bd5e-a00f20c88ff2.htseq.counts.gz,Transcriptome Profiling,e6b85402-c38e-4c9d-bd5e-a00f20c88ff2_count,gene_expression,2016-05-30T18:15:56.841402-05:00,266828,8fe0bab7074bf7f428cb8705ea6579a2,2018-09-06T18:42:58.220092-05:00,f56071e2-b43f-46e7-9336-4e7c50945714,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-STAD,11b87f03-a577-4636-95df-1b2f9878de4b,released,e6b85402-c38e-4c9d-bd5e-a00f20c88ff2_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-CD-8526,TCGA-CD-8526-01A
d11c9940-dc82-4431-a092-e3dcbd0a15b6,TXT,open,TCGA-VQ-A94O-01A-11R-A414-31,b58a2839-3089-4164-b66c-9b51873f25f8.htseq.counts.gz,Transcriptome Profiling,b58a2839-3089-4164-b66c-9b51873f25f8_count,gene_expression,2016-05-29T11:11:36.354091-05:00,261883,2924c31eb79ee18bbefd738419f82c3e,2018-09-06T18:42:58.220092-05:00,d11c9940-dc82-4431-a092-e3dcbd0a15b6,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-STAD,8a47a1c1-532a-4520-8ae0-92cf7e08be56,released,b58a2839-3089-4164-b66c-9b51873f25f8_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-VQ-A94O,TCGA-VQ-A94O-01A
8e1abbf3-ba2e-4bb9-8d63-08aea0ddce1b,TXT,open,TCGA-R5-A7ZI-01A-11R-A354-31,5f977cf2-9f80-4df2-a5de-4c964adcd404.htseq.counts.gz,Transcriptome Profiling,5f977cf2-9f80-4df2-a5de-4c964adcd404_count,gene_expression,2016-05-29T10:59:17.103165-05:00,250817,1c7ca90a6669ceb0b95747af9f5343f9,2018-09-06T18:42:58.220092-05:00,8e1abbf3-ba2e-4bb9-8d63-08aea0ddce1b,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-STAD,328ef125-edbc-42d9-b4d0-e342685b3c1b,released,5f977cf2-9f80-4df2-a5de-4c964adcd404_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-R5-A7ZI,TCGA-R5-A7ZI-01A
5dc68199-02cb-4473-8233-01794702da80,TXT,open,TCGA-BR-7722-01A-31R-2203-13,8b82d46a-1c02-4cb7-9588-e25105650048.htseq.counts.gz,Transcriptome Profiling,8b82d46a-1c02-4cb7-9588-e25105650048_count,gene_expression,2016-05-29T10:50:04.320172-05:00,259659,fcd77b85fd61dacb745a26d5e6999f5c,2018-09-06T18:42:58.220092-05:00,5dc68199-02cb-4473-8233-01794702da80,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-STAD,a7d27a87-7dc0-4f0a-be89-17d729e31f9f,released,8b82d46a-1c02-4cb7-9588-e25105650048_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-BR-7722,TCGA-BR-7722-01A
